Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Naive Bayes,7,2,0.7477611163178173,0.533201189296333,0.7533871808233454,0.36529791041091697,0.3183251463995367,0.599250936329588,0.6360169054736625,0.6397306397306397,0.8421052631578947,0.5445544554455446,0.46511627906976744,0.88,0.6933298593017196,"[0.88, 0.46511627906976744]","[0.5445544554455446, 0.8421052631578947]","[0.672782874617737, 0.599250936329588]","[0.5445544554455446, 0.8421052631578947]"
Naive Bayes,8,2,0.7563080241264701,0.5506391347099312,0.7190646677108973,0.32149017515116035,0.2707981061887048,0.5381526104417671,0.6052586414032197,0.6166666666666667,0.8170731707317073,0.5412844036697247,0.40119760479041916,0.8872180451127819,0.679178787200716,"[0.8872180451127819, 0.40119760479041916]","[0.5412844036697247, 0.8170731707317073]","[0.6723646723646723, 0.5381526104417671]","[0.5412844036697247, 0.8170731707317073]"
Naive Bayes,9,2,0.7554093794052381,0.5644670050761421,0.7180350714202763,0.26315663504486553,0.22611844720222596,0.5,0.585195530726257,0.6026936026936027,0.7468354430379747,0.5504587155963303,0.37579617834394907,0.8571428571428571,0.6486470793171525,"[0.8571428571428571, 0.37579617834394907]","[0.5504587155963303, 0.7468354430379747]","[0.6703910614525139, 0.5]","[0.5504587155963303, 0.7468354430379747]"
Naive Bayes,10,2,0.7414595694185455,0.5492125984251969,0.7945299145299145,0.3940521897426339,0.33607760546301624,0.5654008438818565,0.6431340262769716,0.6600660066006601,0.8589743589743589,0.5911111111111111,0.42138364779874216,0.9236111111111112,0.7250427350427351,"[0.9236111111111112, 0.42138364779874216]","[0.5911111111111111, 0.8589743589743589]","[0.7208672086720868, 0.5654008438818565]","[0.5911111111111111, 0.8589743589743589]"
Naive Bayes,11,3,0.7469735077129445,0.5533980582524272,0.7713303437967116,0.3569082428742377,0.2946593794379653,0.5378151260504201,0.615276278109009,0.6308724832214765,0.8533333333333334,0.5560538116591929,0.39263803680981596,0.9185185185185185,0.7046935724962631,"[0.9185185185185185, 0.39263803680981596]","[0.5560538116591929, 0.8533333333333334]","[0.6927374301675978, 0.5378151260504201]","[0.5560538116591929, 0.8533333333333334]"
Naive Bayes,12,3,0.739909046967438,0.5410447761194029,0.7854194556001785,0.3891914247269272,0.3254264448520885,0.5770750988142292,0.6334650856389987,0.6421404682274248,0.8795180722891566,0.5509259259259259,0.4294117647058823,0.9224806201550387,0.7152219991075413,"[0.9224806201550387, 0.4294117647058823]","[0.5509259259259259, 0.8795180722891566]","[0.6898550724637681, 0.5770750988142292]","[0.5509259259259259, 0.8795180722891566]"
Naive Bayes,13,3,0.7543950617283951,0.5389344262295082,0.7364356435643564,0.32132011824119416,0.2877244876399746,0.5882352941176471,0.6244206773618539,0.627906976744186,0.7920792079207921,0.545,0.4678362573099415,0.8384615384615385,0.6685396039603961,"[0.8384615384615385, 0.4678362573099415]","[0.545, 0.7920792079207921]","[0.6606060606060606, 0.5882352941176471]","[0.545, 0.7920792079207921]"
Naive Bayes,14,3,0.7549790162833641,0.5604963805584281,0.7009821428571429,0.26888232332771395,0.22300968580203173,0.48945147679324896,0.5771357106957935,0.5953177257525084,0.7733333333333333,0.5357142857142857,0.35802469135802467,0.8759124087591241,0.6545238095238095,"[0.8759124087591241, 0.35802469135802467]","[0.5357142857142857, 0.7733333333333333]","[0.6648199445983379, 0.48945147679324896]","[0.5357142857142857, 0.7733333333333333]"
Naive Bayes,15,3,0.7524822891875577,0.5480572597137015,0.7267261040845947,0.34362367363808566,0.3103285376852051,0.5725806451612904,0.6382456298432151,0.6501650165016502,0.7802197802197802,0.5943396226415094,0.45222929936305734,0.863013698630137,0.6872797014306449,"[0.863013698630137, 0.45222929936305734]","[0.5943396226415094, 0.7802197802197802]","[0.7039106145251397, 0.5725806451612904]","[0.5943396226415094, 0.7802197802197802]"
Naive Bayes,16,4,0.7504996769765001,0.56,0.7376447082329435,0.3108676024685289,0.2522666891578459,0.5182186234817814,0.5886222057236987,0.6006711409395973,0.8311688311688312,0.5203619909502263,0.3764705882352941,0.8984375,0.6757654110595288,"[0.8984375, 0.3764705882352941]","[0.5203619909502263, 0.8311688311688312]","[0.6590257879656161, 0.5182186234817814]","[0.5203619909502263, 0.8311688311688312]"
Naive Bayes,17,4,0.7553760595932664,0.5583756345177665,0.7256393298059964,0.2593475222141825,0.21143420404139968,0.5114503816793893,0.5663760784136591,0.5733333333333334,0.7976190476190477,0.4861111111111111,0.37640449438202245,0.860655737704918,0.6418650793650794,"[0.860655737704918, 0.37640449438202245]","[0.4861111111111111, 0.7976190476190477]","[0.621301775147929, 0.5114503816793893]","[0.4861111111111111, 0.7976190476190477]"
Naive Bayes,18,4,0.7535797819761372,0.5434343434343434,0.723327166204132,0.29920264808524205,0.2672019818049802,0.5581395348837209,0.6133720930232558,0.6212624584717608,0.7659574468085106,0.5555555555555556,0.43902439024390244,0.8394160583941606,0.6607565011820331,"[0.8394160583941606, 0.43902439024390244]","[0.5555555555555556, 0.7659574468085106]","[0.6686046511627907, 0.5581395348837209]","[0.5555555555555556, 0.7659574468085106]"
Naive Bayes,19,4,0.7448699009568575,0.5461538461538461,0.7515178571428571,0.37611006822987886,0.325538805136795,0.5511111111111111,0.6401668156091749,0.6622073578595318,0.8266666666666667,0.6071428571428571,0.41333333333333333,0.912751677852349,0.7169047619047619,"[0.912751677852349, 0.41333333333333333]","[0.6071428571428571, 0.8266666666666667]","[0.7292225201072386, 0.5511111111111111]","[0.6071428571428571, 0.8266666666666667]"
Naive Bayes,20,4,0.7452136573104314,0.5384615384615384,0.7859903381642512,0.39238914035311573,0.3518211568702453,0.61003861003861,0.6586424934251021,0.6655629139072847,0.8315789473684211,0.5893719806763285,0.4817073170731707,0.8840579710144928,0.7104754640223747,"[0.8840579710144928, 0.4817073170731707]","[0.5893719806763285, 0.8315789473684211]","[0.7072463768115942, 0.61003861003861]","[0.5893719806763285, 0.8315789473684211]"
