model,split,test_auc,test_f1,test_accuracy,test_balanced_accuracy,test_sensitivity,test_specificity
config5,5,0.6158767245215844,0.4576271186440678,0.5704697986577181,0.592456608811749,0.6428571428571429,0.5420560747663551
config6,1,0.6189925044091711,0.3867403314917127,0.63,0.5648148148148148,0.4166666666666667,0.7129629629629629
config6,2,0.7300714678394723,0.3114754098360656,0.7190635451505016,0.5697086311159978,0.2235294117647059,0.9158878504672897
config6,3,0.6946969696969698,0.42758620689655175,0.7214765100671141,0.6142316017316017,0.3522727272727273,0.8761904761904762
config6,4,0.6574014221073045,0.422360248447205,0.6950819672131148,0.6050958845076493,0.40476190476190477,0.8054298642533937
config6,5,0.7270805518469069,0.4217687074829932,0.714765100671141,0.6097574543836226,0.36904761904761907,0.8504672897196262
config7,1,0.6498567019400353,0.36363636363636365,0.6966666666666667,0.5783730158730158,0.30952380952380953,0.8472222222222222
config7,2,0.7010995052226499,0.4155844155844156,0.6989966555183946,0.6017866959868059,0.3764705882352941,0.8271028037383178
config7,3,0.6351731601731602,0.2773722627737226,0.6677852348993288,0.536525974025974,0.2159090909090909,0.8571428571428571
config7,4,0.7008726567550098,0.2992125984251969,0.7081967213114754,0.5587965955613015,0.2261904761904762,0.8914027149321267
config7,5,0.7600133511348465,0.5153374233128835,0.7348993288590604,0.6635514018691588,0.5,0.8271028037383178
config8,1,0.7225529100529099,0.4460431654676259,0.7433333333333333,0.628968253968254,0.36904761904761907,0.8888888888888888
config8,2,0.777130291368884,0.42424242424242425,0.745819397993311,0.6203133589884552,0.32941176470588235,0.9112149532710281
config8,3,0.7356060606060605,0.19230769230769232,0.7181208053691275,0.5425324675324675,0.11363636363636363,0.9714285714285714
config8,4,0.7118078000430942,0.45454545454545453,0.7245901639344262,0.6291478129713424,0.4166666666666667,0.8416289592760181
config8,5,0.7640186915887851,0.460431654676259,0.7483221476510067,0.6367378727191811,0.38095238095238093,0.8925233644859814
