,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
adc_log-sigma-3-mm-3D_glcm_Idmn,0.5944164158686731,<,0.9948541293928136,0.5693023255813954,0.5694117647058823,mann-whitney U-test,1.1557562691395758e-08
dwi_log-sigma-3-mm-3D_glcm_DifferenceEntropy,0.5944032831737347,>,0.957584986880368,0.5788235294117647,0.5786046511627907,mann-whitney U-test,1.1611549399032876e-08
adc_wavelet-HH_glszm_ZoneVariance,0.5942741450068401,<,607.2400336568311,0.5674418604651162,0.5670588235294118,mann-whitney U-test,1.2155639930812025e-08
dwi_wavelet2-LH_glcm_SumSquares,0.5942675786593707,>,1.0290997648657467,0.5741176470588235,0.5748837209302325,mann-whitney U-test,1.2183957501248262e-08
dwi_wavelet-HL_glcm_Imc2,0.5941428180574555,>,0.3735077996647238,0.5552941176470588,0.5525581395348838,mann-whitney U-test,1.2734331178220197e-08
dwi_square_glszm_ZonePercentage,0.5940859097127222,>,0.0518051434223541,0.5576470588235294,0.5562790697674418,mann-whitney U-test,1.299333002913855e-08
dwi_wavelet2-LH_glszm_SmallAreaHighGrayLevelEmphasis,0.5940487004103968,>,21.73338688112779,0.5694117647058824,0.5683720930232559,mann-whitney U-test,1.3165434938920923e-08
t2_logarithm_gldm_SmallDependenceEmphasis,0.5940290013679891,<,0.3237393221277982,0.5720930232558139,0.571764705882353,mann-whitney U-test,1.3257443865792598e-08
dwi_log-sigma-3-mm-3D_glcm_Contrast,0.594029001367989,>,0.3492002864269559,0.5764705882352941,0.5786046511627907,mann-whitney U-test,1.3257443865792598e-08
adc_wavelet-LH_glszm_ZoneEntropy,0.5940027359781122,<,5.488443677355761,0.5767441860465117,0.5764705882352941,mann-whitney U-test,1.3381094739066208e-08
dwi_wavelet2-HL_glszm_GrayLevelNonUniformity,0.5938517099863201,<,100.31541218637992,0.5665116279069767,0.5670588235294118,mann-whitney U-test,1.4114129520188916e-08
t2_squareroot_glcm_JointEnergy,0.5937335157318742,>,0.0071993591575515,0.5647058823529412,0.5665116279069767,mann-whitney U-test,1.4714877957165233e-08
t2_wavelet2-LL_glszm_LowGrayLevelZoneEmphasis,0.5937072503419972,>,0.0009707459385634,0.56,0.5609302325581396,mann-whitney U-test,1.4851712282496359e-08
t2_wavelet-HL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5935452804377566,>,0.3759887548862223,0.5741176470588235,0.5720930232558139,mann-whitney U-test,1.5723243499896144e-08
dwi_wavelet2-LH_gldm_GrayLevelVariance,0.5935387140902872,>,1.0499669885639342,0.571764705882353,0.5730232558139534,mann-whitney U-test,1.5759603876259322e-08
